"","L","Z","A","Y"
"420",0,1,13,11000
"421",1,13,10,2000
"422",1,19,12,0
"423",1,13,11,3000
"424",0,17,14,1104
"425",0,16,12,3300
"426",0,9,12,3000
"427",1,9,11,13000
"428",0,17,14,0
"429",0,39,8,0
"430",0,13,14,6000
"431",1,19,8,2080
"432",0,346,12,5887
"433",0,15,8,1500
"434",1,37,12,1300
"435",1,2,11,3000
"436",0,16,12,8800
"437",1,9,10,4200
"438",1,1,12,8419
"439",1,346,12,1030
"440",0,40,11,400
"441",0,5,9,0
"442",0,13,12,900
"443",0,13,10,100
"444",1,13,8,550
"445",0,17,12,3289
"446",1,1,12,3301
"447",1,19,9,11960
"448",1,13,9,17000
"449",1,16,10,6602
"450",1,13,10,4000
"451",1,13,12,3000
"452",0,37,10,1750
"453",0,28,10,450
"454",1,19,12,0
"455",1,19,11,0
"456",0,39,10,4227
"457",0,1,9,11000
"458",0,13,12,1540
"459",0,9,11,9000
"460",0,15,10,5000
"461",1,1,11,3000
"462",0,13,12,15028
"463",1,13,12,8000
"464",0,13,16,15000
"465",0,13,12,0
"466",0,19,9,0
"467",0,17,9,0
"468",1,15,11,94
"469",1,9,11,0
"470",0,1,8,0
"471",0,15,15,400
"472",1,1,11,6220
"473",0,9,11,2300
"474",1,13,11,0
"475",1,0,10,700
"476",1,39,10,3900
"477",0,1,12,0
"478",0,39,12,28
"479",1,13,17,30000
"480",1,19,9,0
"481",1,13,16,35000
"482",1,16,12,1400
"483",1,19,12,10200
"484",1,19,9,5400
"485",1,13,12,150
"486",0,9,8,0
"487",1,1,12,4500
"488",0,37,10,0
"489",0,9,10,2000
"490",0,0,12,774
"491",1,9,14,0
"492",1,9,12,1173
"493",1,39,12,400
"494",1,13,10,0
"495",0,1,9,0
"496",1,0,11,16000
"497",1,2,12,6000
"498",1,13,12,134
"499",0,2,12,3793
"500",1,1,11,8000
"501",0,15,12,5189
"502",1,2,13,3981
"503",1,13,15,0
"504",1,37,10,108
"505",0,9,13,1200
"506",1,9,12,0
"507",1,5,12,0
"508",1,0,12,25183
"509",1,2,8,2400
"510",1,1,12,200
"511",1,13,10,8000
"512",0,16,10,1800
"513",0,17,8,0
"514",1,19,16,0
"515",0,2,11,5136
"516",0,13,12,8500
"517",1,1,12,98
"518",1,16,17,800
"519",0,13,12,0
"520",1,13,11,3129
"521",0,17,12,1050
"522",1,1,12,14000
"523",0,15,12,3804
"524",0,19,15,398
"525",0,9,12,586
"526",0,9,13,7000
"527",0,19,12,700
"528",0,17,12,0
"529",1,2,9,40
"530",1,16,12,15933
"531",1,9,9,0
"532",1,13,9,5000
"533",1,1,14,0
"534",1,39,13,0
"535",0,1,12,200
"536",1,39,12,8700
"537",0,1,10,2100
"538",1,2,13,6000
"539",0,16,9,2340
"540",0,16,10,500
"541",0,16,12,12088
"542",0,9,10,5200
"543",1,17,12,1620
"544",0,13,12,30000
"545",0,39,12,9000
"546",0,1,10,5000
"547",1,19,10,9932
"548",1,15,11,0
"549",1,346,10,12480
"550",0,13,10,7080
"551",0,13,11,3228
"552",0,17,11,2664
"553",1,13,11,3000
"554",1,15,13,2000
"555",0,1,10,0
"556",0,17,12,2560
"557",1,0,12,19609
"558",1,13,11,11000
"559",1,13,13,400
"560",0,9,12,12000
"561",0,2,13,400
"562",1,9,10,2000
"563",1,9,12,5907
"564",0,15,12,4800
"565",1,13,9,8284
"566",0,17,12,5060
"567",1,19,9,2308
"568",0,39,14,4000
"569",1,15,11,6000
"570",1,19,12,2200
"571",1,17,12,2000
"572",1,13,12,3220
"573",1,17,12,3560
"574",1,17,12,500
"575",0,9,12,10600
"576",1,9,8,12
"577",0,17,14,6000
"578",1,9,15,1800
"579",1,0,12,0
"580",1,15,10,12000
"581",1,19,8,0
"582",0,9,10,1735
"583",0,1,12,400
"584",1,13,14,12000
"585",1,37,12,0
"586",0,13,12,4686
"587",0,19,12,0
"588",1,19,12,300
"589",1,2,14,1000
"590",0,17,11,4473
"591",0,15,12,9000
"592",0,13,14,0
"593",0,13,12,6000
"594",0,17,12,1200
"595",0,1,10,0
"596",1,9,13,7014
"597",0,1,11,0
"598",0,39,13,550
"599",1,28,8,9000
"600",0,16,8,2600
"601",0,13,8,0
"602",0,13,12,5884
"603",1,9,10,11495
"604",1,16,14,8000
"605",1,16,14,25000
"606",0,0,12,10000
"607",0,13,10,0
"608",1,15,11,0
"609",0,2,13,5000
"610",0,1,12,1100
"611",1,37,12,6000
"612",1,0,9,5647
"613",1,19,10,4000
"614",0,13,9,3840
"615",1,17,11,0
"616",0,13,12,5000
"617",0,16,12,2283
"618",1,1,9,14000
"619",1,13,12,4800
"620",1,13,16,0
"621",1,1,8,6000
"622",1,13,12,7000
"623",0,13,12,4244
"624",1,17,12,3000
"625",0,19,8,1680
"626",0,17,11,0
"627",1,1,11,3500
"628",1,13,12,0
"629",1,19,10,0
"630",0,19,9,4500
"631",0,9,9,0
"632",0,9,8,360
"633",0,1,9,5600
"634",1,1,10,4100
"635",1,13,12,50
"636",1,13,12,8000
"637",0,1,12,8007
"638",1,1,12,6000
"639",0,1,12,6000
"640",0,9,9,11117
"641",0,17,11,0
"642",1,17,13,10080
"643",1,37,9,1500
"644",1,13,9,14000
"645",1,40,11,13000
"646",0,13,12,7000
"647",1,37,15,0
"648",1,15,12,100
"649",0,19,12,2000
"650",0,19,14,0
"651",1,13,8,0
"652",0,39,12,42
"653",1,17,12,14
"654",0,13,15,1300
"655",0,19,12,0
"656",0,1,11,166
"657",0,19,12,5520
"658",0,13,12,400
"659",0,17,12,3056
"660",0,1,10,0
"661",0,2,12,0
"662",0,1,9,0
"663",1,16,14,5500
"664",1,1,12,1800
"665",0,19,11,1995
"666",1,19,12,0
"667",0,13,14,0
"668",1,0,12,15000
"669",0,16,8,4320
"670",1,17,16,1300
"671",0,28,12,3500
"672",0,39,12,4226
"673",1,13,10,11000
"674",1,346,11,1500
"675",0,17,12,0
"676",1,19,12,1250
"677",1,15,12,3000
"678",0,16,9,0
"679",1,13,12,195
"680",1,16,12,500
"681",1,2,11,9000
"682",1,19,12,8475
"683",0,346,8,0
"684",1,9,8,5000
"685",0,15,12,200
"686",0,40,12,0
"687",1,13,12,10000
"688",0,13,12,6000
"689",1,19,14,7000
"690",1,37,12,2000
"691",1,0,12,187
"692",0,16,11,3000
"693",1,2,10,2000
"694",1,17,12,320
"695",1,19,8,0
"696",1,13,12,0
"697",1,19,12,13500
"698",1,40,11,9245
"699",0,9,11,4746
"700",0,16,14,2409
"701",1,19,8,0
"702",1,1,12,75
"703",0,13,12,0
"704",0,13,12,0
"705",1,2,12,2000
"706",1,0,12,10238
"707",0,39,14,1209
"708",1,0,10,0
"709",1,39,12,5200
"710",0,13,11,0
"711",0,16,11,0
"712",0,13,12,2400
"713",1,13,14,12000
"714",1,9,10,5633
"715",0,1,8,3000
"716",0,39,15,8560
"717",0,16,12,0
"718",1,13,12,300
"719",0,19,12,7675
"720",0,15,15,934
"721",0,13,8,1300
"722",0,1,7,0
"723",0,9,10,0
"724",1,19,14,4800
"725",0,13,12,9700
"726",1,13,12,0
"727",1,37,13,4600
"728",0,5,11,0
"729",0,1,14,6800
"730",1,13,10,5000
"731",1,19,12,0
"732",0,0,10,0
"733",1,2,17,200
"734",0,19,12,9000
"735",0,13,11,400
"736",1,13,10,1000
"737",1,13,10,10000
"738",0,19,16,0
"739",0,9,12,0
"740",1,19,11,3000
"741",1,2,12,265
"742",0,1,9,0
"743",0,1,9,313
"744",0,16,13,800
"745",1,13,11,0
"746",1,39,17,1985
"747",0,1,9,0
"748",0,16,15,2746
"749",0,17,9,0
"750",1,13,12,13000
"751",1,0,14,0
"752",0,17,12,26000
"753",1,13,12,1800
"754",0,9,8,2191
"755",0,17,12,6000
"756",0,2,12,9000
"757",1,19,9,0
"758",0,1,11,200
"759",1,39,11,4200
"760",1,13,18,3000
"761",1,37,8,685
"762",1,2,11,0
"763",1,1,12,200
"764",0,2,12,2000
"765",0,17,11,0
"766",1,13,12,0
"767",1,2,11,360
"768",1,9,12,5000
"769",0,1,9,800
"770",1,39,13,7570
"771",0,13,12,0
"772",1,19,13,0
"773",1,13,10,0
"774",1,1,13,98
"775",0,17,12,0
"776",1,37,10,900
"777",0,16,12,4200
"778",1,16,13,2500
"779",1,1,12,0
"780",1,19,10,2000
"781",0,13,12,2000
"782",1,19,13,4500
"783",1,13,12,4000
"784",0,13,10,1500
"785",0,16,9,634
"786",1,13,17,0
"787",0,16,12,0
"788",0,39,10,3628
"789",0,17,12,0
"790",0,2,13,900
"791",1,17,12,9120
"792",0,9,14,700
"793",1,2,12,0
"794",0,19,8,0
"795",1,13,14,0
"796",0,17,12,0
"797",0,39,10,1615
"798",0,9,10,0
"799",1,13,10,1000
"800",0,1,8,0
"801",1,13,11,1050
"802",0,13,9,5600
"803",0,2,13,1300
"804",1,17,12,1968
"805",0,17,11,0
"806",1,0,10,36
"807",0,13,10,0
"808",0,13,12,0
"809",0,13,9,5000
"810",1,13,12,10400
"811",0,17,12,360
"812",0,13,10,0
"813",1,5,8,9000
"814",1,40,8,0
"815",1,16,10,3000
"816",1,13,8,1148
"817",0,17,12,10751
"818",0,16,12,16500
"819",0,13,11,9629
"820",0,19,9,0
"821",0,9,9,0
"822",0,1,10,55
"823",0,16,10,8000
"824",1,1,12,6000
"825",0,37,10,3480
"826",1,13,16,0
"827",1,2,16,11000
"828",1,19,8,1720
"829",1,19,10,0
"830",1,346,12,75
"831",1,16,8,600
"832",1,346,12,0
"833",1,9,11,1700
"834",1,16,12,120
"835",0,15,13,500
