"","L","Z","A","Y"
"4639",1,13,12,3010
"4640",0,346,12,2640
"4641",1,15,13,800
"4642",1,13,16,4900
"4643",1,1,8,1382
"4644",0,13,13,6373
"4645",1,13,12,200
"4646",0,17,12,3160
"4647",0,13,12,2300
"4648",0,17,13,3000
"4649",1,13,16,4800
"4650",0,19,12,1368
"4651",0,17,12,0
"4652",1,1,8,2976
"4653",1,15,15,5000
"4654",0,9,13,1500
"4655",0,37,11,500
"4656",1,39,14,7998
"4657",0,39,11,5000
"4658",0,9,8,0
"4659",0,9,12,100
"4660",0,5,12,500
"4661",1,13,17,13000
"4662",1,13,8,0
"4663",0,13,13,2000
"4664",0,17,12,5616
"4665",1,13,10,0
"4666",1,39,12,14000
"4667",0,13,9,11400
"4668",1,19,9,0
"4669",0,16,14,4500
"4670",0,9,10,0
"4671",0,13,12,6000
"4672",1,15,11,5683
"4673",1,15,17,3200
"4674",0,9,10,3000
"4675",0,1,12,1020
"4676",1,13,14,3000
"4677",1,19,11,0
"4678",0,9,12,3362
"4679",0,13,11,1524
"4680",0,13,16,5760
"4681",0,13,9,5486
"4682",1,2,12,3000
"4683",1,40,10,0
"4684",0,13,12,300
"4685",1,16,14,0
"4686",1,0,13,300
"4687",1,19,14,780
"4688",1,28,12,19800
"4689",1,13,12,7000
"4690",0,19,11,0
"4691",1,17,10,402
"4692",0,17,9,1440
"4693",0,15,12,59
"4694",0,17,9,0
"4695",0,13,12,6600
"4696",1,13,14,860
"4697",0,13,13,78
"4698",1,13,11,3000
"4699",0,28,12,146
"4700",0,39,11,0
"4701",0,39,11,6612
"4702",0,5,14,0
"4703",1,1,11,9000
"4704",1,17,12,1580
"4705",0,13,9,5148
"4706",1,19,12,0
"4707",0,9,16,18000
"4708",1,19,9,728
"4709",1,19,12,2500
"4710",1,13,14,4000
"4711",0,37,12,3115
"4712",1,5,12,3700
"4713",1,1,11,0
"4714",0,1,12,2000
"4715",0,1,8,2700
"4716",1,39,10,3464
"4717",0,39,13,3692
"4718",1,19,12,5200
"4719",1,13,12,0
"4720",1,0,12,4000
"4721",1,0,11,397
"4722",0,17,12,2400
"4723",1,28,11,400
"4724",1,13,12,647
"4725",1,39,11,9240
"4726",1,1,11,4000
"4727",1,13,9,0
"4728",1,0,12,8000
"4729",0,39,10,300
"4730",0,16,13,5400
"4731",0,17,12,0
"4732",0,17,12,2000
"4733",1,13,10,12000
"4734",1,16,17,28000
"4735",1,39,9,2222
"4736",1,346,10,2500
"4737",0,13,11,1000
"4738",0,9,12,0
"4739",0,39,12,32
"4740",0,19,12,0
"4741",0,13,12,6000
"4742",0,19,13,200
"4743",0,19,10,10000
"4744",1,19,10,0
"4745",0,16,11,4473
"4746",1,9,13,0
"4747",0,39,12,1347
"4748",1,2,11,960
"4749",0,1,12,3000
"4750",1,9,12,0
"4751",1,0,12,1600
"4752",0,37,12,0
"4753",0,28,11,4480
"4754",1,16,12,3000
"4755",1,13,12,0
"4756",1,9,12,2000
"4757",1,1,8,725
"4758",1,28,12,12000
"4759",0,2,13,1400
"4760",1,9,10,0
"4761",0,9,12,270
"4762",0,17,12,0
"4763",0,0,11,890
"4764",1,37,7,900
"4765",0,13,12,0
"4766",0,13,12,3120
"4767",1,13,12,200
"4768",0,1,9,5000
"4769",1,13,12,16000
"4770",0,1,12,6240
"4771",1,17,11,0
"4772",0,9,9,700
"4773",1,1,8,9000
"4774",1,15,12,0
"4775",1,5,12,850
"4776",0,28,12,1646
"4777",0,1,12,98
"4778",0,19,10,1020
"4779",0,13,12,5000
"4780",0,15,12,165
"4781",0,13,11,260
"4782",0,17,12,0
"4783",1,37,10,0
"4784",0,17,12,0
"4785",0,13,9,379
"4786",0,15,14,200
"4787",1,1,9,5000
"4788",1,13,12,418
"4789",0,2,11,0
"4790",0,16,12,6614
"4791",1,13,14,1600
"4792",1,13,9,0
"4793",0,2,12,521
"4794",1,15,12,6
"4795",0,1,12,200
"4796",1,1,12,17000
"4797",0,13,10,5000
"4798",1,0,10,1488
"4799",1,17,12,0
"4800",0,1,9,4900
"4801",0,19,8,0
"4802",1,39,10,700
"4803",0,15,12,36
"4804",0,13,12,2160
"4805",1,17,12,2300
"4806",0,19,10,0
"4807",0,346,9,0
"4808",0,37,13,0
"4809",1,39,11,3000
"4810",1,1,12,1000
"4811",0,39,11,0
"4812",1,37,10,0
"4813",0,19,13,0
"4814",0,13,12,0
"4815",1,16,10,5760
"4816",0,9,9,5000
"4817",0,17,12,4462
"4818",1,0,12,0
"4819",1,39,8,6000
"4820",0,9,10,800
"4821",0,13,12,3444
"4822",1,9,13,400
"4823",0,15,12,0
"4824",1,19,12,6400
"4825",0,13,12,90
"4826",0,19,12,0
"4827",0,2,14,8000
"4828",0,17,10,1350
"4829",1,13,8,15600
"4830",1,39,12,900
"4831",0,16,12,1000
"4832",1,13,10,6500
"4833",1,15,12,7000
"4834",1,15,11,248
"4835",1,1,13,520
"4836",0,13,12,2000
"4837",0,17,12,0
"4838",0,0,12,4000
"4839",0,16,12,150
"4840",1,39,12,1100
"4841",1,1,12,6000
"4842",1,2,11,6
"4843",0,1,11,0
"4844",0,19,12,0
"4845",1,17,12,2320
"4846",0,37,12,900
"4847",1,13,11,500
"4848",0,17,12,0
"4849",0,19,12,0
"4850",0,15,13,0
"4851",1,16,16,4700
"4852",0,9,12,0
"4853",0,39,14,6800
"4854",1,37,11,3500
"4855",1,13,13,8000
"4856",1,2,10,900
"4857",0,39,12,0
"4858",1,9,11,0
"4859",1,39,11,2876
"4860",1,9,10,0
"4861",0,28,11,0
"4862",1,15,12,5000
"4863",0,1,12,500
"4864",0,13,13,500
"4865",0,37,12,2299
"4866",1,9,13,5000
"4867",0,17,12,0
"4868",0,0,13,2428
"4869",0,13,13,1608
"4870",1,0,13,2848
"4871",0,13,12,0
"4872",0,39,8,2212
"4873",0,2,11,0
"4874",0,28,10,0
"4875",1,13,9,18000
"4876",1,37,15,9344
"4877",1,16,11,1000
"4878",1,13,12,1783
"4879",0,13,12,0
"4880",1,9,11,12000
"4881",1,13,12,14000
"4882",0,17,12,1840
"4883",1,28,12,2000
"4884",1,16,16,700
"4885",1,9,11,1000
"4886",1,13,10,6000
"4887",1,13,12,12000
"4888",0,1,12,1506
"4889",1,13,9,0
"4890",1,19,12,1120
"4891",1,15,12,3000
"4892",0,13,12,0
"4893",0,17,13,0
"4894",0,19,12,1102
"4895",0,17,12,6120
"4896",0,1,11,558
"4897",1,1,10,0
"4898",1,1,10,7878
"4899",0,37,10,0
"4900",1,13,10,7200
"4901",1,17,12,1600
"4902",0,13,12,0
"4903",1,19,10,4500
"4904",0,1,11,1000
"4905",0,13,12,1000
"4906",0,17,12,6000
"4907",0,16,8,0
"4908",1,19,8,0
"4909",0,1,12,6000
"4910",1,17,12,4000
"4911",1,17,12,0
"4912",0,19,14,0
"4913",0,346,12,0
"4914",0,17,12,0
"4915",1,9,10,300
"4916",1,9,11,0
"4917",1,17,12,1000
"4918",1,13,12,5300
"4919",0,17,13,0
"4920",1,13,12,2400
"4921",0,15,11,0
"4922",0,39,12,9000
"4923",1,15,11,200
"4924",1,9,11,0
"4925",1,9,12,0
"4926",0,39,9,0
"4927",1,13,10,0
"4928",0,1,12,0
"4929",1,39,12,8000
"4930",1,19,12,0
"4931",0,9,9,2558
"4932",0,13,12,0
"4933",0,15,13,0
"4934",1,13,12,2300
"4935",1,2,12,6000
"4936",0,9,12,7261
"4937",0,9,11,0
"4938",0,13,12,0
"4939",0,37,12,2343
"4940",0,16,14,5980
"4941",0,40,12,0
"4942",0,1,12,8216
"4943",0,1,11,0
"4944",0,17,9,1200
"4945",0,39,14,1000
"4946",1,13,10,18000
"4947",1,40,16,18000
"4948",0,9,10,0
"4949",1,16,16,2000
"4950",1,28,10,0
"4951",0,13,12,2560
"4952",1,39,12,7681
"4953",0,17,12,0
"4954",0,1,12,10
"4955",1,0,12,13156
"4956",0,13,13,3000
"4957",0,0,11,6807
"4958",0,17,12,0
"4959",1,13,8,1400
"4960",1,13,12,4162
"4961",1,13,8,0
"4962",0,13,12,1800
"4963",0,9,8,0
"4964",0,13,12,7500
"4965",1,39,12,12000
"4966",1,9,10,0
"4967",1,15,12,7500
"4968",0,1,12,0
"4969",1,16,12,7230
"4970",1,0,12,6000
"4971",0,37,15,600
"4972",0,13,12,3000
"4973",1,28,10,0
"4974",1,5,10,3000
"4975",0,9,12,9500
"4976",0,13,11,4520
"4977",0,9,14,1107
"4978",0,16,12,7056
"4979",0,2,10,500
"4980",1,15,11,0
"4981",0,9,12,4962
"4982",1,13,12,10720
"4983",0,13,12,0
"4984",1,1,13,0
"4985",0,16,14,0
"4986",0,2,12,0
"4987",0,13,12,0
"4988",1,13,12,98
"4989",0,1,12,7500
"4990",1,13,12,1500
"4991",0,19,10,3000
"4992",1,13,11,5000
"4993",1,13,9,3542
"4994",1,15,9,2000
"4995",0,17,12,7000
"4996",1,37,13,4000
"4997",0,17,12,800
"4998",1,39,11,5014
"4999",0,28,9,0
"5000",0,17,10,1914
"5001",1,9,9,750
"5002",0,9,11,0
"5003",1,1,10,2759
"5004",0,13,12,300
"5005",0,19,12,960
"5006",0,40,14,1284
"5007",1,16,8,5200
"5008",0,13,13,4436
"5009",0,37,13,8500
"5010",0,16,13,0
"5011",0,16,14,8700
"5012",1,9,10,4000
"5013",0,1,9,0
"5014",0,39,12,5928
"5015",0,13,14,200
"5016",0,19,11,900
"5017",0,13,10,9401
"5018",0,28,12,9360
"5019",1,19,12,0
"5020",0,9,12,5440
"5021",0,9,13,650
"5022",1,19,12,3100
"5023",1,5,10,5000
"5024",0,19,12,0
"5025",1,13,12,3000
"5026",1,16,17,2680
"5027",1,5,16,12000
"5028",0,17,12,715
"5029",0,13,14,7000
"5030",1,39,17,4000
"5031",1,19,9,3000
"5032",1,13,12,6000
"5033",0,39,12,3460
"5034",0,17,12,1072
"5035",1,19,12,588
"5036",0,13,16,0
"5037",0,17,12,5000
"5038",1,13,12,10800
"5039",0,13,12,4000
"5040",0,2,12,0
"5041",0,39,17,2340
"5042",0,19,12,0
"5043",0,1,12,0
"5044",0,0,8,0
"5045",0,19,7,0
"5046",1,19,14,0
"5047",1,9,13,4000
"5048",0,17,12,0
"5049",1,9,10,4400
"5050",0,2,12,8000
"5051",1,0,11,5100
"5052",1,13,13,5086
"5053",0,5,13,0
"5054",1,9,13,550
"5055",0,13,12,230
"5056",0,19,11,8000
"5057",1,17,12,9200
"5058",1,39,8,2400
"5059",0,13,12,2500
"5060",1,2,12,2000
"5061",0,2,12,0
"5062",0,16,16,1998
"5063",1,13,12,6500
"5064",0,13,12,7000
"5065",0,17,12,0
"5066",0,39,12,7441
"5067",0,13,12,1530
"5068",1,16,14,3306
"5069",0,39,10,0
"5070",1,5,10,910
"5071",0,13,12,0
"5072",1,17,14,5229
"5073",1,13,12,2680
"5074",1,0,15,0
"5075",1,13,12,1000
"5076",0,17,12,7661
"5077",1,39,12,2830
"5078",0,13,12,2000
"5079",1,39,12,8324
"5080",0,346,11,3000
"5081",0,15,11,0
"5082",1,15,16,4800
"5083",1,0,8,2000
"5084",0,17,12,0
"5085",1,13,10,5000
"5086",1,13,10,0
"5087",0,37,11,0
"5088",1,2,10,90
"5089",0,1,8,335
"5090",1,9,12,1000
"5091",0,17,11,0
"5092",1,16,12,0
"5093",1,5,11,3005
"5094",1,39,9,10000
"5095",0,17,9,1072
"5096",0,15,12,850
"5097",0,2,12,3660
"5098",0,13,12,557
"5099",1,13,12,0
"5100",1,19,9,1120
"5101",0,15,12,2500
"5102",1,39,12,0
"5103",0,9,10,0
"5104",0,39,10,0
"5105",0,16,14,3862
"5106",0,13,13,700
"5107",1,1,12,5800
"5108",1,0,11,9000
"5109",1,13,12,2000
"5110",1,13,12,180
"5111",1,16,12,8500
"5112",0,1,13,7500
"5113",0,37,10,700
"5114",1,0,12,4000
"5115",0,28,12,2602
"5116",0,13,12,2700
"5117",1,15,12,2700
"5118",1,17,14,0
"5119",1,17,9,2010
"5120",1,2,14,4200
"5121",1,37,12,3900
"5122",1,15,11,7800
"5123",1,9,8,0
"5124",0,16,11,0
"5125",0,39,12,5500
"5126",1,1,12,3000
"5127",0,19,9,8000
"5128",0,16,12,1132
"5129",1,13,12,3000
"5130",0,15,8,0
"5131",0,13,12,7000
"5132",1,37,14,3000
"5133",0,39,11,536
"5134",1,16,12,10000
"5135",0,9,13,4500
"5136",1,9,12,400
"5137",0,16,10,3840
"5138",1,19,12,600
"5139",0,9,10,0
"5140",0,28,12,0
"5141",0,13,9,0
"5142",0,13,11,0
"5143",1,39,12,10200
"5144",1,13,12,1000
"5145",0,37,13,3000
"5146",1,16,14,10500
"5147",0,19,9,7000
"5148",1,13,13,2700
"5149",0,17,12,1500
"5150",1,13,9,6257
"5151",0,19,9,0
"5152",0,17,11,200
"5153",1,39,14,800
"5154",1,16,12,2500
"5155",0,1,11,0
"5156",0,19,12,0
"5157",0,13,14,2000
"5158",1,15,12,5000
"5159",0,1,12,0
"5160",1,15,12,600
"5161",1,13,9,5000
"5162",1,19,10,0
"5163",1,1,12,3000
"5164",1,13,12,5
"5165",0,28,14,0
"5166",0,13,9,4800
"5167",1,9,9,0
"5168",0,39,11,0
"5169",0,9,12,72
"5170",1,13,12,0
"5171",0,1,13,250
"5172",0,16,12,1200
"5173",0,1,8,1876
"5174",1,13,13,0
"5175",0,13,12,0
"5176",1,16,10,11317
"5177",1,39,11,4000
"5178",1,9,9,1227
"5179",0,0,13,9808
"5180",0,2,14,0
"5181",0,17,15,0
"5182",1,40,12,0
"5183",0,28,11,536
"5184",0,1,9,400
"5185",0,16,9,4500
"5186",0,1,12,10208
"5187",1,13,12,0
"5188",1,9,10,0
"5189",0,346,10,0
"5190",1,39,12,992
"5191",0,13,11,1500
"5192",0,9,12,100
"5193",1,19,9,9000
"5194",1,16,9,0
"5195",0,13,9,0
"5196",1,0,11,2440
"5197",1,9,10,0
"5198",1,28,12,20160
"5199",0,37,12,4200
"5200",0,19,10,0
"5201",0,0,12,2232
"5202",0,37,10,4000
"5203",1,19,14,240
"5204",0,9,8,0
"5205",1,2,11,3500
"5206",1,1,12,0
"5207",0,9,12,3366
"5208",0,16,15,3000
"5209",1,13,12,600
"5210",1,17,12,400
"5211",0,1,9,0
"5212",0,13,11,4200
"5213",0,39,17,3000
"5214",0,39,12,5618
"5215",0,39,11,3000
"5216",1,2,13,8100
"5217",1,9,12,0
"5218",0,1,8,1300
"5219",1,16,16,7000
"5220",1,1,10,0
"5221",1,1,10,2520
"5222",1,17,12,1120
"5223",1,2,12,2500
"5224",1,5,11,0
"5225",1,13,12,7500
"5226",0,13,12,1200
"5227",0,1,8,0
"5228",1,13,11,0
"5229",0,39,10,300
"5230",0,19,12,1200
"5231",0,13,12,10000
"5232",0,15,15,3000
"5233",1,16,10,70
"5234",1,1,13,7200
"5235",1,19,12,3500
"5236",0,28,11,1542
"5237",0,346,9,3000
"5238",1,37,12,1000
"5239",0,13,16,5000
"5240",0,15,13,1100
"5241",0,16,10,5760
"5242",0,1,12,500
"5243",0,17,8,0
"5244",1,1,12,230
"5245",0,13,12,1200
"5246",1,16,12,1132
"5247",0,2,12,0
"5248",1,13,14,2500
"5249",0,17,12,0
"5250",1,1,11,9100
"5251",0,17,10,3570
"5252",1,13,11,7500
"5253",1,16,12,1200
"5254",0,15,16,800
"5255",0,19,11,0
"5256",1,13,9,5400
"5257",1,19,14,4620
"5258",0,15,12,837
"5259",1,0,12,1380
"5260",0,16,14,3000
"5261",0,13,10,7600
"5262",0,16,11,0
"5263",1,13,12,7000
"5264",0,5,11,3338
"5265",0,13,12,3069
"5266",0,16,10,7000
"5267",1,0,11,0
"5268",0,9,10,3000
"5269",1,39,13,330
"5270",0,13,12,9791
"5271",1,13,12,6000
"5272",0,13,11,0
"5273",0,15,12,560
"5274",0,39,9,3100
"5275",1,13,17,0
"5276",0,17,10,2000
"5277",0,17,11,0
"5278",0,16,15,0
"5279",0,17,12,604
"5280",0,13,12,6440
"5281",1,1,11,1000
"5282",1,17,12,0
"5283",0,0,12,2000
"5284",1,13,12,1900
"5285",1,17,16,0
"5286",1,1,12,0
"5287",0,13,9,0
"5288",1,13,16,0
"5289",1,1,11,5937
"5290",1,16,11,13000
"5291",1,9,11,0
"5292",1,13,14,0
"5293",1,13,12,1000
"5294",0,2,12,9000
"5295",0,19,12,7200
"5296",0,19,10,0
"5297",0,17,10,0
"5298",0,13,12,0
"5299",0,19,12,2688
"5300",1,13,12,5624
"5301",1,9,12,1303
"5302",0,19,9,0
"5303",0,17,11,4680
"5304",0,9,12,1099
"5305",1,2,11,0
"5306",0,13,12,0
"5307",0,16,12,12000
"5308",1,13,12,9622
"5309",1,1,8,1000
"5310",0,13,8,0
"5311",1,19,7,0
"5312",0,15,12,1300
"5313",0,17,9,4000
"5314",1,13,8,160
"5315",1,9,12,11000
"5316",0,5,14,17000
"5317",0,16,12,0
"5318",0,37,12,1600
"5319",0,39,12,2400
"5320",1,0,12,5440
"5321",0,9,10,0
"5322",0,2,13,0
"5323",0,17,12,1940
"5324",1,9,13,1800
"5325",0,17,12,0
"5326",1,1,12,2500
"5327",1,19,10,0
"5328",0,5,12,135
"5329",1,13,12,2400
"5330",1,19,9,900
"5331",0,13,10,2550
"5332",1,9,8,0
"5333",0,1,8,744
"5334",1,16,13,2500
"5335",1,16,8,0
"5336",1,40,13,900
"5337",1,13,16,400
"5338",0,13,8,200
"5339",1,19,10,232
"5340",1,13,12,9000
"5341",1,28,11,2436
"5342",1,0,12,4308
"5343",0,1,11,4800
"5344",1,19,13,10000
"5345",1,16,17,10000
"5346",0,2,11,0
"5347",0,39,11,3185
"5348",1,17,12,0
"5349",0,13,12,8900
"5350",1,39,11,245
"5351",0,13,12,3250
"5352",1,1,10,7000
"5353",1,40,12,1500
"5354",0,13,12,5040
"5355",0,15,12,6000
"5356",0,2,12,6000
"5357",0,16,12,5962
"5358",1,15,15,660
"5359",1,19,12,4320
"5360",0,19,8,0
"5361",0,37,10,0
"5362",1,13,13,5500
"5363",0,13,14,0
"5364",0,1,12,2500
"5365",0,2,9,2000
"5366",0,19,11,1900
"5367",0,13,10,6000
"5368",1,9,12,2400
"5369",1,19,16,9000
"5370",0,39,12,1200
"5371",0,2,12,350
"5372",1,16,12,7621
"5373",0,17,12,2157
"5374",0,13,12,9000
"5375",0,346,9,0
"5376",0,13,12,0
"5377",0,13,12,0
"5378",0,19,10,0
"5379",0,16,13,0
"5380",1,19,13,3800
"5381",0,19,13,0
"5382",1,16,13,12800
"5383",0,13,12,550
"5384",0,1,9,2000
"5385",1,9,12,1800
"5386",0,2,11,816
"5387",1,13,12,0
"5388",1,15,13,1200
"5389",1,13,9,3000
"5390",1,13,11,2500
"5391",0,9,11,0
"5392",1,19,12,1200
"5393",0,15,12,800
"5394",0,13,10,364
"5395",0,16,9,2800
"5396",1,1,10,0
"5397",0,16,12,120
"5398",1,0,14,23551
"5399",1,13,10,640
"5400",1,13,13,2000
"5401",1,13,9,0
"5402",1,39,12,9338
"5403",0,13,9,0
"5404",1,19,8,0
"5405",1,9,12,6000
"5406",1,13,11,276
"5407",1,13,12,3000
"5408",0,37,12,6400
"5409",0,13,13,0
"5410",1,13,12,6618
"5411",0,1,11,1200
"5412",1,39,10,1550
"5413",0,28,13,700
"5414",0,1,12,1088
"5415",1,37,12,9000
"5416",1,28,10,0
"5417",0,9,9,1200
"5418",0,37,12,0
"5419",1,13,12,7231
"5420",0,13,8,600
"5421",1,19,12,0
"5422",1,17,12,2391
"5423",0,2,15,640
"5424",1,13,10,3000
"5425",1,19,12,0
"5426",0,39,12,1322
"5427",1,13,12,1000
"5428",0,16,16,212
"5429",0,17,10,0
"5430",0,15,11,0
"5431",0,13,9,8500
"5432",0,17,12,0
"5433",0,19,12,480
"5434",1,13,12,8522
"5435",1,1,7,2800
"5436",1,2,12,2270
"5437",1,13,13,2422
"5438",1,39,12,11000
"5439",0,0,11,0
"5440",1,1,8,8000
"5441",1,15,12,4000
"5442",0,2,12,384
"5443",1,13,10,5000
"5444",0,17,12,0
"5445",0,16,12,500
"5446",0,19,12,6000
"5447",0,19,13,8700
"5448",1,37,12,75
"5449",0,13,12,4000
"5450",1,13,12,20000
"5451",0,2,12,392
"5452",0,346,12,0
"5453",0,13,14,0
"5454",0,16,15,0
"5455",0,9,11,0
"5456",1,40,16,0
"5457",1,0,12,0
"5458",0,39,13,840
"5459",1,9,11,3878
"5460",0,28,12,0
"5461",0,17,12,0
"5462",1,19,12,0
"5463",1,13,11,536
"5464",1,2,14,13000
"5465",0,1,11,300
"5466",1,16,12,2500
"5467",1,13,13,0
"5468",0,40,11,3000
"5469",0,19,17,0
"5470",1,13,12,0
"5471",0,40,12,2439
"5472",1,13,11,15000
"5473",1,19,13,0
"5474",1,16,12,5200
"5475",0,13,8,500
"5476",1,16,10,286
"5477",0,37,11,0
"5478",0,13,10,11000
"5479",0,2,11,800
"5480",1,19,11,0
"5481",0,13,11,0
"5482",0,15,12,0
"5483",0,16,12,2400
"5484",0,17,13,0
"5485",1,15,10,700
"5486",0,1,9,50
"5487",0,13,14,0
"5488",1,1,11,2732
"5489",1,16,14,7135
"5490",0,19,12,5000
"5491",1,13,11,3500
"5492",1,1,8,9600
"5493",0,17,8,0
"5494",1,15,12,2900
"5495",0,9,12,0
"5496",1,15,12,3700
"5497",1,9,12,0
"5498",0,17,12,965
"5499",0,13,12,6500
"5500",1,13,10,0
"5501",1,13,7,9000
"5502",0,2,12,0
"5503",0,9,12,0
"5504",0,19,8,0
"5505",0,1,9,0
"5506",1,13,12,0
"5507",1,13,12,60
"5508",0,9,12,175
"5509",1,1,9,3824
"5510",1,16,13,1506
"5511",0,13,12,0
"5512",1,28,12,0
"5513",1,15,13,5200
"5514",0,346,10,5200
"5515",0,37,12,0
"5516",0,39,9,5253
"5517",1,13,8,11000
"5518",0,1,10,1701
"5519",1,1,12,2500
"5520",0,39,13,3200
"5521",0,9,8,0
"5522",0,15,12,0
"5523",0,13,11,1500
"5524",1,13,12,11592
"5525",0,39,12,3515
"5526",0,37,14,600
"5527",0,9,11,0
"5528",0,13,11,10000
"5529",0,17,12,0
"5530",1,39,12,3500
"5531",1,39,11,3500
"5532",0,39,14,6100
"5533",0,28,9,0
"5534",0,16,14,4896
"5535",0,39,12,1000
"5536",1,19,13,0
"5537",1,39,10,5094
"5538",0,37,10,7200
"5539",0,9,12,0
"5540",1,39,16,0
"5541",1,16,10,403
"5542",1,13,14,0
"5543",0,13,12,999
"5544",0,9,13,15000
"5545",1,15,11,2400
"5546",1,19,11,0
"5547",0,40,12,70
"5548",0,1,8,3000
"5549",1,17,12,5000
"5550",0,17,12,10886
"5551",1,15,12,2400
"5552",0,39,12,5000
"5553",0,39,10,7181
"5554",1,17,13,9500
"5555",0,13,12,7728
"5556",1,1,10,98
"5557",1,17,9,0
"5558",1,19,8,0
"5559",1,13,12,5000
"5560",0,1,12,1400
"5561",0,17,12,8000
"5562",1,13,12,4200
"5563",0,1,9,700
"5564",1,9,13,2000
"5565",1,0,13,1500
"5566",1,16,12,5520
"5567",1,5,12,12005
"5568",0,13,12,2400
"5569",0,19,16,0
"5570",0,17,9,0
"5571",1,40,12,8000
"5572",1,13,14,850
"5573",0,37,11,0
"5574",1,0,12,5000
"5575",1,39,14,5000
"5576",1,13,11,0
"5577",1,28,11,0
"5578",0,17,12,8076
"5579",1,13,9,6000
"5580",1,28,12,500
"5581",0,17,10,2246
"5582",0,9,8,295
"5583",0,39,12,7000
"5584",0,13,9,0
"5585",0,2,12,1500
"5586",1,9,12,5000
"5587",1,39,16,1171
"5588",1,16,12,3000
"5589",1,19,10,3520
"5590",0,13,12,0
"5591",1,1,12,11700
"5592",0,1,12,8113
"5593",1,13,12,0
"5594",1,5,12,11000
"5595",1,19,9,200
"5596",0,16,13,0
"5597",1,16,14,9664
"5598",1,39,12,0
"5599",1,37,11,4100
"5600",0,39,10,5749
"5601",1,15,12,400
"5602",0,5,9,600
"5603",1,13,9,3640
"5604",1,37,10,1300
"5605",1,16,11,6000
"5606",0,13,12,2160
"5607",1,1,14,9000
"5608",1,13,8,12768
"5609",1,13,8,0
"5610",0,16,12,0
"5611",0,28,12,834
"5612",0,16,12,0
"5613",1,2,14,0
"5614",0,17,16,0
"5615",1,39,12,14000
"5616",1,2,12,5400
"5617",1,13,12,11500
"5618",1,1,12,1500
"5619",0,39,12,0
"5620",0,13,12,0
"5621",0,17,10,0
"5622",0,17,8,0
"5623",0,15,12,960
"5624",0,13,12,6900
"5625",0,15,14,2500
"5626",1,2,16,0
"5627",0,17,11,0
"5628",1,37,14,2000
"5629",1,13,10,1200
"5630",1,39,12,759
"5631",1,0,12,2179
"5632",0,15,10,100
"5633",0,13,14,2000
"5634",0,1,9,1500
"5635",0,17,12,2880
"5636",0,17,14,0
"5637",1,19,7,0
"5638",1,9,14,328
"5639",1,19,9,0
"5640",0,13,12,0
"5641",0,9,11,7600
"5642",1,13,14,21000
"5643",0,13,11,0
"5644",1,13,10,136
"5645",0,19,12,138
"5646",0,19,12,0
"5647",1,0,16,3000
"5648",0,1,14,0
"5649",1,9,9,0
"5650",0,16,11,0
"5651",1,16,12,8000
"5652",0,1,10,2441
"5653",0,13,13,0
"5654",1,2,12,4000
"5655",1,13,12,5200
"5656",1,1,12,15000
"5657",1,15,12,9000
"5658",0,39,12,8000
"5659",1,13,12,17200
"5660",0,28,13,1400
"5661",0,1,11,50
"5662",1,13,12,13200
"5663",1,39,11,2000
"5664",0,16,12,1562
"5665",1,15,14,2700
"5666",0,1,12,3800
"5667",1,17,12,0
"5668",0,16,13,7756
"5669",0,13,11,0
"5670",0,1,10,0
"5671",0,17,12,9000
"5672",0,1,8,0
"5673",0,13,10,4000
"5674",1,2,16,4500
"5675",0,13,12,7000
"5676",0,17,16,4910
"5677",0,17,12,0
"5678",0,39,12,0
"5679",1,39,12,1877
"5680",1,13,16,18000
"5681",0,13,12,4800
"5682",1,15,8,14450
"5683",1,17,11,2500
"5684",1,39,12,15000
"5685",0,1,8,0
"5686",0,17,10,0
"5687",1,13,12,2900
"5688",1,13,12,0
"5689",1,16,12,0
"5690",1,16,16,0
"5691",1,13,11,18000
"5692",1,17,12,0
"5693",0,39,14,2700
"5694",1,13,14,5400
"5695",0,1,12,0
"5696",1,39,9,2800
"5697",0,13,10,8500
"5698",0,39,16,778
"5699",1,19,10,11340
"5700",0,1,13,6513
"5701",0,1,10,0
"5702",0,16,13,5070
"5703",0,19,9,1100
"5704",1,28,12,4500
"5705",1,5,12,10000
"5706",0,16,11,315
"5707",1,0,10,4710
"5708",0,0,11,665
"5709",0,13,12,1260
"5710",1,1,13,0
"5711",1,13,11,0
"5712",0,13,10,938
"5713",0,39,12,451
"5714",0,1,12,0
"5715",1,39,12,0
"5716",1,13,13,17000
"5717",0,17,9,0
"5718",0,1,12,0
"5719",1,13,12,12
"5720",0,17,12,5000
"5721",0,13,10,3915
"5722",1,5,11,14299
"5723",1,28,12,150
"5724",0,9,11,0
"5725",1,39,12,2477
"5726",0,9,11,0
"5727",1,13,10,7282
"5728",0,16,14,0
"5729",1,39,12,9582
"5730",0,39,12,5000
"5731",0,9,12,0
"5732",0,2,8,0
"5733",1,19,12,2000
"5734",1,13,15,2600
"5735",1,2,12,400
"5736",0,17,11,0
"5737",0,39,15,3596
"5738",0,13,12,2400
"5739",0,28,12,0
"5740",0,1,9,1500
"5741",0,19,9,0
"5742",1,15,12,10000
"5743",1,39,10,900
"5744",0,39,14,6840
"5745",0,17,12,1000
"5746",1,0,11,0
"5747",1,15,12,0
"5748",1,13,12,16200
"5749",0,16,9,0
"5750",1,19,12,9880
"5751",1,16,12,5000
"5752",0,15,14,3000
"5753",0,37,8,0
